table_name,enabled,total_rows,row_limit,order_by_column,batch_size,col_to_skip
screentest_history,1,37301,10000,occurred_at,10000,
script_workflow_events,1,159448544,10000,created_at,10000,
snst_insight,1,4063,10000,created_at,1000,raw_data
agent_messages,0,6963,10000,ctid,10000,
agent_runs,0,679,10000,ctid,10000,
agent_tool_calls,0,3051,10000,ctid,10000,
allocations,0,0,10000,ctid,10000,
boolean_feature_flags,0,32,10000,ctid,10000,
circuit_breaker_events,0,739,10000,ctid,10000,
circuit_breakers,0,3,10000,ctid,10000,
datacenter_node_identifiers,0,11589,10000,ctid,10000,
datacenter_nodes,0,60466,10000,ctid,10000,
db_version,0,1,10000,ctid,10000,
dependency_health,0,1,10000,ctid,10000,
entrypoints_table,0,1513,10000,ctid,10000,
knowledgegraph_facts,0,3436120,10000,ctid,10000,
knowledgegraph_properties,0,8839387,10000,ctid,10000,
kubernetes_nodes,0,0,10000,ctid,10000,
model_recommendations,0,0,10000,ctid,10000,
node_history,0,378867,10000,ctid,10000,
oci_sr,0,4241,10000,ctid,10000,
rtm_threshold_trigger,0,0,10000,ctid,10000,
screentest_node_health,0,-1,10000,ctid,10000,
screentest_node_health_history,0,-1,10000,ctid,10000,
screentest_node_locks,0,158,10000,ctid,10000,
screentest_overrides,0,0,10000,ctid,10000,
screentest_run_results,0,0,10000,ctid,10000,
screentest_run_results_nodes,0,0,10000,ctid,10000,
screentest_run_summaries,0,0,10000,ctid,10000,
screentest_run_tag,0,79,10000,ctid,10000,
screentest_runs,0,68,10000,ctid,10000,
screentest_runs_nodes,0,1292,10000,ctid,10000,
screentest_tags,0,10,10000,ctid,10000,
screentest_test_failures,0,0,10000,ctid,10000,
script_versions_config,0,17,10000,ctid,10000,
script_workflow_runs,0,214336,10000,ctid,10000,
scripts,0,727,10000,ctid,10000,
slurm_nodes,0,2903,10000,ctid,10000,
slurm_nodes_partitions,0,5783,10000,ctid,10000,
slurm_nodes_reservations,0,309,10000,ctid,10000,
slurm_partitions,0,6,10000,ctid,10000,
slurm_reservations,0,14,10000,ctid,10000,
slurm_topology_blocks,0,160,10000,ctid,10000,
tenant_configs,0,1,10000,ctid,10000,
tenants,0,1,10000,ctid,10000,
workflow_signals,0,891,10000,ctid,10000,
workflows,0,66,10000,ctid,10000,
